char	mandarin	mandarin_initial	mandarin_final	mandarin_tone	cantonese	cantonese_initial	cantonese_final	cantonese_tone
𠀁	qī	q	i	1	cat1	c	at	1
𠀅	hài	h	ai	4	hoi6	h	oi	6
𠀉	qiū	q	iu	1	jau1	j	au	1
𠀍	shì	sh	i	4	sai3	s	ai	3
𠁁	dòu	d	ou	4	doek3	d	oek	3
𠂆	yì	y	i	4	jai6	j	ai	6
𠂇	zuǒ	z	uo	3	zo2	z	o	2
𠂔	zǐ	z	i	3	zi2	z	i	2
𠂝	zā	z	a	1	zung3	z	ung	3
𠂢	pài	p	ai	4	paai3	p	aai	3
𠂤	duī	d	ui	1	deoi1	d	eoi	1
𠃌	gǔn	g	un	3	gwan2	gw	an	2
𠃓	yáng	y	ang	2	joeng4	j	oeng	4
𠄌	jué	j	ue	2	kyut3	k	yut	3
𠄣	gèn	g	en	4	gang2	g	ang	2
𠆌	yōng	y	ong	1	jung4	j	ung	4
𠆩	fàn	f	an	4	faan2	f	aan	2
𠆲	yǎn	y	an	3	kwong2	kw	ong	2
𠇱	mò	m	o	4	maai6	m	aai	6
𠇹	jìng	j	ing	4	ging3	g	ing	3
𠉂	tà	t	a	4	taat3	t	aat	3
𠊧	bìng	b	ing	4	bing3	b	ing	3
𠊷	zhì	zh	i	4	zi6	z	i	6
𠍽	shà	sh	a	4	ce2	c	e	2
𠓗	fù	f	u	4	fu3	f	u	3
𠔃	xī	x	i	1	hai4	h	ai	4
𠕁	cóng	c	ong	2	saan1	s	aan	1
𠕄	nà	n	a	4	nap1	n	ap	1
𠖥	chǒng	ch	ong	3	cung2	c	ung	2
𠗊	jìng	j	ing	4	ging6	g	ing	6
𠗦	píng	p	ing	2	pang4	p	ang	4
𠘕	xī	x	i	1	hei1	h	ei	1
𠙶	ǒu		ou	3	au2		au	2
𠚹	shàn	sh	an	4	saam1	s	aam	1
𠛅	kōu	k	ou	1	kau1	k	au	1
𠛪	tiāo	t	iao	1	tiu1	t	iu	1
𠜎	xiàn	x	ian	4	sin3	s	in	3
𠜱	pī	p	i	1	pai1	p	ai	1
𠜼	qiā	q	ia	1	haap3	h	aap	3
𠞭	lóu	l	ou	2	dau1	d	au	1
𠞰	jiǎo	j	iao	3	ziu2	z	iu	2
𠟍	chōng	ch	ong	1	cung1	c	ung	1
𠡠	chì	ch	i	4	loi6	l	oi	6
𠣕	jūn	j	un	1	gwan1	gw	an	1
𠤎	huà	h	ua	4	cat1	c	at	1
𠦌	xì	x	i	4	sei3	s	ei	3
𠧩	huì	h	ui	4	fui3	f	ui	3
𠩵	lì	l	i	4	lik6	l	ik	6
𠩺	xī	x	i	1	lei4	l	ei	4
𠪙	xǐ	x	i	3	jik6	j	ik	6
𠫭	cān	c	an	1	caam1	c	aam	1
𠬛	mò	m	o	4	mong4	m	ong	4
𠬝	fú	f	u	2	fuk6	f	uk	6
